character,x,y
傻,-54.44706007,-51.32985582
像,-44.8520227,-52.13915062
僚,-48.85046085,-45.00532273
僧,-18.47382311,-68.0767596
僵,-42.18266881,81.45684671
僻,-13.65420808,-50.21462418
儒,-22.50886354,41.6202465
儿,10.9872711,12.01080511
兀,10.95218248,11.68318273
允,11.65182411,6.971289198
元,34.51523466,2.545162745
兄,45.9323078,-0.448465542
充,-30.80095847,-7.00990246
兆,8.673287689,7.843677982
先,-9.845000397,13.05446482
光,-8.692266441,11.99855055
克,-43.15708833,-12.60931127
免,-50.5064398,-11.50217239
兑,5.964379097,2.878393449
兔,-51.4680694,-11.58785644
党,8.312618081,-1.981759681
兜,7.703480058,7.044461952
入,-7.072973631,8.853577478
全,7.209287559,-8.981526255
八,9.321481718,18.07065328
公,-3.142086621,9.341147383
六,-7.393893911,1.422924143
兰,-6.999051047,-11.87927132
共,-1.741424743,-1.008785526
关,-11.67336571,6.637741694
兴,-20.66272639,20.91557675
兵,18.20690048,4.335735296
其,-48.82164981,-23.20631105
具,46.44714221,17.71056425
典,-35.04758232,-1.340994657
兹,-3.966386371,31.02929761
养,-52.60686572,28.77680529
兼,-94.13635004,19.6075185
兽,-83.25300732,51.12061181
内,73.33945547,10.20092358
冈,74.03404372,41.19903637
册,68.11421088,30.60883317
再,50.82272424,-1.25626814
冒,-80.46475355,52.66569316
写,19.13699982,10.22458724
军,55.24077334,1.050285206
农,-6.731172151,18.03961435
冠,42.82223054,-7.332206729
冤,32.46857272,13.1223901
冬,-29.60942936,-4.284558174
冯,35.38649211,-6.023185873
冰,-10.36914153,-24.42778302
冲,3.028480215,-28.53382655
决,11.47556796,-31.12916053
况,29.35166512,-17.55300135
冶,-33.44872996,-26.4200274
冷,-44.27445881,-33.60971684
冻,-28.43129614,-8.920183071
净,-44.0828049,-30.90447993
凄,-82.06538,20.39810818
准,4.872954636,-87.66177779
凉,-41.75394475,-28.91663358
凌,-52.02700939,37.13365722
减,-16.10137616,33.38864706
凑,-70.01924477,-32.34776251
凛,-45.32101948,57.67737958
凝,52.64832136,39.88002957
几,35.65051497,-18.878674
凡,36.0496777,-18.58971706
凤,46.79856004,-3.65541873
凭,-34.23611403,24.55838487
凯,10.98926892,36.7244418
凳,-18.20682589,52.98224579
凶,82.82727887,48.49607468
出,-35.83085922,13.53960638
击,-35.34200809,10.93633427
函,82.66470342,47.18145544
刀,67.8087823,26.24386581
刃,67.79027565,26.18883207
分,0.494761282,8.14545739
切,62.19187468,-19.61609873
刊,84.07955257,8.799102231
刑,88.66442182,0.763508617
划,88.61838327,9.550553355
列,84.67834323,11.64750772
刘,87.34403116,9.413855497
则,87.22037249,13.3244272
刚,55.82654387,77.47185466
创,90.08999462,9.323608493
初,74.22883105,17.31017035
判,86.91408526,7.700932415
利,83.50623437,9.155024994
别,90.47423646,13.18633811
刮,88.68746964,12.1969251
到,88.64875556,11.47994465
制,93.87230388,8.300611231
刷,89.72690522,19.95633016
券,-72.65992416,20.74896464
刹,91.31110707,9.427258561
刺,91.65372996,6.630728148
刻,88.57612244,7.620930816
剂,89.91191541,7.457427178
削,90.64697454,11.50483138
前,-0.116515029,24.32198412
剑,90.14482317,9.985424658
剖,88.52478748,6.961559178
剥,95.02598355,8.761139871
剧,89.74143616,19.99567325
剩,95.69372687,8.766257423
剪,-53.12869822,-23.495846
副,91.23293559,13.94491976
割,92.58737466,6.955812426
劈,-13.7971083,39.61844136
力,-17.00450745,7.866062964
劝,77.62002585,16.38622538
办,-7.211473496,-4.632264204
功,77.60896363,16.38656691
加,69.54322377,15.2610109
务,-15.8669436,-6.164558407
劣,-15.859433,2.283154528
动,80.26903462,13.67874041
助,83.16284666,13.94302178
努,-16.34763092,1.528712175
劫,86.6678234,9.776551499
励,43.29523779,61.01862679
劲,84.34618643,12.32379948
劳,-39.47833687,-10.64588587
势,-47.98668888,1.326247363
勃,91.43791894,5.605527338
勇,42.01712908,27.90516604
勉,38.31251659,39.89587504
勒,81.00170934,19.46420276
募,-40.15472857,61.70193553
勤,93.39240548,12.77410669
勾,29.83875204,-10.65210128
勿,27.68642835,-10.45044593
匀,32.33076423,-10.72672357
包,-28.86570725,-28.26047994
匆,29.6450354,-10.34374853
化,-27.4335304,14.52116767
北,9.057926874,8.534009922
匙,27.64263154,28.7349233
匠,33.90602869,22.88948307
匪,33.60758721,23.45334981
匹,34.74356799,23.06960271
区,36.09583277,22.38153061
医,36.67654778,23.25415855
十,-28.6653921,15.18829644
千,-28.18496081,3.723033381
升,28.01276692,45.88027727
午,-21.83391277,18.92535589
半,-30.24817853,15.59441036
华,-26.99271215,10.92243014
协,13.78627436,-48.93665081
卑,-60.54334605,-15.133959
卓,-69.30253472,19.13585317
单,-68.93288626,18.3970964
卖,-78.19632419,-12.32274345
南,-67.88580781,-12.32515409
博,-55.88811676,-73.74480904
卜,-4.368914077,6.914514867
占,-13.96905016,18.67522736
卡,-1.947590901,14.47262008
卢,-54.22651174,-16.28405672
卧,20.29448518,62.52788346
卫,37.80972111,18.13930315
印,69.04230487,19.8366349
危,-55.61851664,-31.61621106
即,68.29351794,45.35364524
却,69.50474969,16.60501724
卵,68.28013061,45.36898613
卷,-72.47059767,20.87980538
卸,19.13655332,27.7176274
卿,54.95718165,81.60598698
厂,42.46060543,2.284966414
厅,43.4205805,2.687931249
历,36.63545482,26.56892316
厉,57.68452985,22.02978376
压,37.7448866,21.57641293
厌,41.03257251,2.887655706
厕,65.52308845,42.32406506
厚,-30.02247928,44.20650675
原,48.38867625,23.21390278
厢,79.62226806,39.96344568
厦,-28.56107284,82.93563273
厨,21.75066941,34.46415692
去,-12.69197475,17.62112231
县,-37.39661089,46.98065258
参,-7.795334503,26.74816043
又,47.85283152,6.369099535
叉,48.0392237,6.392384146
及,51.42933568,14.03183294
友,-3.393353727,16.652053
双,52.09264899,14.79730657
反,41.62736766,-1.555115374
发,-51.89536454,36.99281423
叔,0.76154331,38.50270157
取,-4.455599692,34.89201975
受,20.90740402,14.3942671
变,-80.05488969,-4.737380085
叙,0.812553679,38.52718117
叛,53.94640706,-48.20175675
叠,-28.76495792,78.5225899
口,-1.080243831,-8.78469566
古,-13.58263665,18.35297554
句,27.71299368,-11.04418113
另,48.78097438,10.37039142
叨,78.74183318,51.53758586
只,33.97877799,6.563941882
